Codigo	nombre	Principal	TipoFarmacia	provincia	municipio
109	FARMACIA CAROL ACROPOLIS CENTER	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
110	FARMACIA CAROL NACO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
111	FARMACIA CAROL ESTRELLA SADHALA	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
112	FARMACIA CAROL GURABO	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
113	FARMACIA CAROL INDEPENDENCIA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
230	FARMACIA CAROL SAMANA	9320	SUCURSAL	SAMANA	SANTA BARBARA DE SAMANA
231	FARMACIA CAROL  PLAZA ANDALUCIA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
232	FARMACIA CAROL TIRADENTES	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
233	FARMACIA CAROL AGORA MALL	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
234	FARMACIA CAROL NOVO CENTRO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
235	FARMACIA CAROL JUAN DOLIO	9320	SUCURSAL	SAN PEDRO DE MACORIS	SAN PEDRO DE MACORIS
282	FARMACIA CAROL HERRERA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
283	FARMACIA CAROL CUESTA HERMOSA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
284	FARMACIA CAROL EL MILLON	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
285	FARMACIA CAROL PALMARES	9320	SUCURSAL	DUARTE	SAN FRANCISCO DE MACORIS
286	FARMACIA CAROL JUMBO MELLA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
296	FARMACIA CAROL LA ROMANA	9320	SUCURSAL	LA ROMANA	LA ROMANA
297	FARMACIA CAROL LAS TERRENAS	9320	SUCURSAL	SAMANA	LAS TERRENAS
298	FARMACIA CAROL MELGEN	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
299	FARMACIA CAROL MOCA	9320	SUCURSAL	ESPAILLAT	MOCA
300	FARMACIA CAROL REPUBLICA DE COLOMBIA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
301	FARMACIA CAROL ROMULO BETANCOURT	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
302	FARMACIA CAROL SOSUA	9320	SUCURSAL	PUERTO PLATA	SOSUA
303	FARMACIA CAROL MANOGUAYABO	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
348	FARMACIA CAROL LAS PRADERAS	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
356	FARMACIA CAROL AILA	9320	SUCURSAL	SANTO DOMINGO	BOCA CHICA
360	FARMACIA CAROL SAN PEDRO DE MACORIS	9320	SUCURSAL	SAN PEDRO DE MACORIS	SAN PEDRO DE MACORIS
373	FARMACIA CAROL SAN VICENTE	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
375	FARMACIA CAROL VILLA MELLA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO NORTE
378	FARMACIA CAROL DOWNTOWN CENTER	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
382	FARMACIA CAROL CHURCHILL	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
383	FARMACIA CAROL EVARISTO MORALES	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
384	FARMACIA CAROL GALERIA 360	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
385	FARMACIA CAROL LAS PALMAS	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
386	FARMACIA CAROL MALECON CENTER	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
387	FARMACIA CAROL ROMULO 341	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
388	FARMACIA CAROL DUARTE	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
396	FARMACIA CAROL VILLA HERMOSA	9320	SUCURSAL	LA ROMANA	VILLA HERMOSA
397	FARMACIA CAROL BLUE MALL PUNTA CANA	9320	SUCURSAL	LA ALTAGRACIA	SAL VALEON DE HIGUEY
405	FARMACIA CAROL PEDRO BRAND	9320	SUCURSAL	SANTO DOMINGO	PEDRO BRAND (DM)
409	FARMACIA CAROL DOWNTOWN MALL PUNTA CANA	9320	SUCURSAL	LA ALTAGRACIA	SAL VALEON DE HIGUEY
443	FARMACIA CAROL BAVARO	9320	SUCURSAL	LA ALTAGRACIA	SAL VALEON DE HIGUEY
444	FARMACIA CAROL GALERIAS DE NACO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
445	FARMACIA CAROL JUMBO LA ROMANA	9320	SUCURSAL	LA ROMANA	LA ROMANA
446	FARMACIA CAROL JUMBO LUPERON	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
447	FARMACIA CAROL LA SIRENA JOSE CONTRERAS	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
448	FARMACIA CAROL LA SIRENA LUPERON	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
449	FARMACIA CAROL LA SIRENA SAN FRANCISCO DE MACORIS	9320	SUCURSAL	DUARTE	SAN FRANCISCO DE MACORIS
450	FARMACIA CAROL MEGACENTRO I	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
451	FARMACIA CAROL MEGACENTRO II	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
453	FARMACIA CAROL MULTIPLAZA LA ROMANA	9320	SUCURSAL	LA ROMANA	LA ROMANA
454	FARMACIA CAROL PATIO COLOMBIA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
455	CAROL LA RINCONADA SANTIAGO	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
456	CAROL  MEXICO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
457	CAROL MUSA SPM	9320	SUCURSAL	SAN PEDRO DE MACORIS	SAN PEDRO DE MACORIS
486	CAROL SAN MIGUEL	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
487	CAROL GALERIAS DEL ATLANTICOS	9320	SUCURSAL	PUERTO PLATA	SAN FELIPE DE PUERTO PLATA
640	CAROL PLAZA PORVENIR	9320	SUCURSAL	DUARTE	SAN FRANCISCO DE MACORIS
661	CAROL PLAZA PORTAL DEL NORTE	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
691	FARMACIA CAROL - LOS RIOS	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
692	FARMACIA CAROL- EL EMBRUJO	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
695	FARMACIA CAROL-LA ESPERILLA	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
697	FARMACIA CAROL-CUADRA SAN ISIDRO	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
699	FARMACIA CAROL-MANOGUAYABO	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
700	FARMACIA CAROL-LAS FLORES	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
768	FARMACIA CAROL-BRAVO VILLA MELLA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO NORTE
848	FARMACIA CAROL-HIPICA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
1089	FARMACIA CAROL-HOMS	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2407	FARMACIA CAROL - LA MARQUESA CUIDAD JUAN BOSCH	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
2408	FARMACIA CAROL - COLINAS CENTRO	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO NORTE
2409	FARMACIA CAROL - PADRE LAS CASAS SANTIAGO.	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2410	FARMACIA CAROL - LOS MINAS	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
2411	FARMACIA CAROL - GURABITO	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2422	FARMACIA CAROL - VERON	9320	SUCURSAL	LA ALTAGRACIA	VERON
2447	FARMACIA CAROL - BANI	9320	SUCURSAL	PERAVIA	BANI
2527	FARMACIA CAROL- PATIO CHIQUITO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
2530	FARMACIA CAROL -EL EMBRUJO	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2531	FARMACIA CAROL -CUADRA ALAMEDA	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
2546	FARMACIA CAROL- ALMACENES UNIDOS (BAVARO - PUNTA CANA)	9320	SUCURSAL	LA ALTAGRACIA	SAL VALEON DE HIGUEY
2570	FARMACIA CAROL	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO OESTE
2610	FARMACIA CAROL-BONAO	9320	SUCURSAL	MONSEÑOR NOUEL	BONAO
2611	FARMACIA CAROL-CAMINO CHIQUITO	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO NORTE
2612	FARMACIA CAROL-CASA DE CAMPO	9320	SUCURSAL	LA ROMANA	LA ROMANA
2613	FARMACIA CAROL-CHARLES SUMMER	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
2614	FARMACIA CAROL-COLINAS MALL	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2615	FARMACIA CAROL-DR.DELGADO	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
2616	FARMACIA CAROL-EL ENCANTO	9320	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2617	FARMACIA CAROL-HAINA PIISA	9320	SUCURSAL	SAN CRISTOBAL	BAJOS DE HAINA
2618	FARMACIA CAROL-HERMANAS MIRABAL	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO NORTE
2619	FARMACIA CAROL-JUMBO SAN ISIDRO	9320	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
2620	FARMACIA CAROL-UCE	9320	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9325	FARMACIA LAS MERCEDES DE LOS SANTOS S R L	9325	PRINCIPAL	LA VEGA	CONCEPCION DE LA VEGA
9394	SUPER FARMACIA MACORIX S A	9394	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9395	FARMACIA ORTEGA UREÑA EIRL	9395	PRINCIPAL	HERMANAS MIRABAL	SALCEDO
2558	FARMACIA ORTEGA UREÑA,EIRL	9395	SUCURSAL	ESPAILLAT	MOCA
9416	JUAN JOSE DIAZ ENCARNACION	9416	PRINCIPAL	SAN JOSE DE OCOA	RANCHO ARRIBA
2466	JUAN JOSE DIAZ ENCARNACION (SECTOR LOS QUEMADOS)	9416	SUCURSAL	SAN JOSE DE OCOA	RANCHO ARRIBA
9422	SUPER FARMACIA VILLA FUNDACION	9422	PRINCIPAL	PERAVIA	VILLA FUNDACION
9480	FARMACIA DARIELYS SRL	9480	PRINCIPAL	HERMANAS MIRABAL	TENARES
9483	FARMACIA ALONSO MARTINEZ EIRL	9483	PRINCIPAL	MARIA TRINIDAD SANCHEZ	NAGUA
9487	FARMACIA VILLA ESTELA	9487	PRINCIPAL	BARAHONA	SANTA CRUZ DE BARAHONA
9493	FARMACIA CARRASCO SRL	9493	PRINCIPAL	HATO MAYOR DEL REY	HATO MAYOR DEL REY
9551	FARMACIA JEAN LUIS, SRL	9551	PRINCIPAL	SANCHEZ RAMIREZ	COTUI
9558	SUPER FARMACIA INDEPENDENCIA C POR A	9558	PRINCIPAL	LA VEGA	JARABACOA
9559	ARACELIS LACHAPELL ROSARIO	9559	PRINCIPAL	MONSEÑOR NOUEL	PIEDRA BLANCA
9563	CADASA TRADING S A	9563	PRINCIPAL	LA VEGA	JARABACOA
2510	CADASA TRADING SA- FARMACIA LA ECONOMICA	9563	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
9601	FARMACIA CHURCHILL C POR A	9601	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9656	FARMACIA CARMINA SRL	9656	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9662	FARMACIA LAUREL SRL	9662	PRINCIPAL	PERAVIA	BANI
9678	FARMETRO SRL	9678	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9683	FARMACIA PUERTO RICO SRL	9683	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO ESTE
9684	FARMACIA LUZ DIVINA SRL	9684	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO ESTE
438	FARMACIA LUZ DIVINA	9684	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
707	FARMACIA LUZ DIVINA-ISABELITA	9684	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
9692	FARMACIA DONA OLGA C POR A	9692	PRINCIPAL	SANTO DOMINGO	BOCA CHICA
9702	FARMACIA BARBARA MARIA C POR A	9702	PRINCIPAL	SANTO DOMINGO	BOCA CHICA
9717	INVERSIONES TORRES SERRATA SRL	9717	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
275	FARMACIA BAIK JARABACOA	9717	SUCURSAL	LA VEGA	JARABACOA
279	FARMACIA BAIK III, ENRIQUILLO	9717	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
9719	FARMACIA KARLA SRL	9719	PRINCIPAL	PERAVIA	BANI
10044	FARMACIA CRISTIANA S.A	10044	PRINCIPAL	SAN CRISTOBAL	SAN CRISTOBAL
420	FARMACIA CRISTIANA LAS COLINAS	10044	SUCURSAL	SAN CRISTOBAL	SAN CRISTOBAL
439	FARMACIA CRISTIANA VILLA ELISA	10044	SUCURSAL	SAN CRISTOBAL	BAJOS DE HAINA
598	FARMACIA CRISTIANA SHALOM 3	10044	SUCURSAL	SAN CRISTOBAL	SAN CRISTOBAL
693	FARMACIA CRISTIANA PUERTA DE HACIENDA	10044	SUCURSAL	SAN CRISTOBAL	SAN CRISTOBAL
701	FARMACIA CRISTIANA CONSTITUCION	10044	SUCURSAL	SAN CRISTOBAL	SAN CRISTOBAL
2424	FARMACIA CRISTIANA CAMBITA	10044	SUCURSAL	SAN CRISTOBAL	CAMBITA GARABITO
2440	FARMACIA CRISTIANA PADRE AYALA	10044	SUCURSAL	SAN CRISTOBAL	SAN CRISTOBAL
2452	FARMACIA CRISTIANA SAOMY	10044	SUCURSAL	SAN CRISTOBAL	SAN CRISTOBAL
10132	FARMACIA CALDERON SRL	10132	PRINCIPAL	DUARTE	SAN FRANCISCO DE MACORIS
10150	GISELA BUTTEN & CO C POR A	10150	PRINCIPAL	SAN JUAN DE LA MAGUANA	SAN JUAN DE LA MAGUANA
10340	YUDERKA ZORRILLA SANTANA	10340	PRINCIPAL	HATO MAYOR DEL REY	HATO MAYOR DEL REY
10352	FARMACIA JULISSA S A	10352	PRINCIPAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
10601	FARMACIA LIDIA S A	10601	PRINCIPAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
314	FARMACIA LIDIA SA GURABO II	10601	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
10610	SUPERFARMACIA KAREN C POR A	10610	PRINCIPAL	DISTRITO NACIONAL	DISTRITO NACIONAL
10664	DARY S A	10664	PRINCIPAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
10685	FARMACIA EL SOL DE LA VEGA S R L	10685	PRINCIPAL	LA VEGA	CONCEPCION DE LA VEGA
311	FARMACIA EL SOL  METROPOLITANA	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
313	FARMACIA EL SOL  SAN PEDRO	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
477	FARMACIA EL SOL  SAN MARTIN	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
478	FARMACIA  EL SOL SAN JOSE	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
597	FARMACIA EL SOL DE LA VEGA- SANTIAGO DE LOS CABALLEROS	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
703	FARMACIA EL SOL  MARILOPEZ	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
771	FARMACIA EL SOL MADERA	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
822	FARMACIA EL SOL MEDICA	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
828	FARMACIA EL SOL INMACULADA	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
829	FARMACIA EL SOL JARABACOA	10685	SUCURSAL	LA VEGA	JARABACOA
856	FARMACIA EL SOL SANTA LUCIA	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
857	FARMACIA EL SOL SAN FRANCISCO	10685	SUCURSAL	DUARTE	SAN FRANCISCO DE MACORIS
1984	FARMACIA EL SOL  LOS PINOS	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
1985	FARMACIA EL SOL  BUENOS AIRES	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
1993	FARMACIA EL SOL DESCUENTO	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
1996	FARMACIA EL SOL DE AARAON	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
1997	FARMACIA EL SOL DE LA VEGA, VILLA BELEN	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2406	FARMACIA EL SOL  GURABO	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2427	FARMACIA EL SOL   ELBA	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
2456	FARMACIA EL SOL  EL NUEVE	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	LICEY AL MEDIO
2487	FARMACIA EL SOL DE LA VEGA (DEL VALLE)	16085	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
2488	FARMACIA EL SOL DE LA VEGA SRL (HAMACA)	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
2495	FARMACIA EL SOL DE LA VEGA, SRL - ARENOSO	10685	SUCURSAL	LA VEGA	CONCEPCION DE LA VEGA
2496	FARMACIA EL SOL DE LA VEGA,SRL- LA CONFLUENCIA	10685	SUCURSAL	LA VEGA	JARABACOA
2528	FARMACIA EL SOL DE LA VEGA S R L - LA ESMERALDA	10685	SUCURSAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
10706	FARMACIA SABANA IGLESIA SRL	10706	PRINCIPAL	SANTIAGO DE LOS CABALLEROS	SABANA IGLESIA
415	FARMACIA SABANA IGLESIA II	10706	SUCURSAL	SANTIAGO DE LOS CABALLEROS	JANICO
10735	FARMACIA BRAMIL SRL	10735	PRINCIPAL	SANTIAGO RODRIGUEZ	SAN IGNACIO DE SABANETA
2571	FARMACIA BRAMIL SRL II	10735	SUCURSAL	SANTIAGO RODRIGUEZ	SAN IGNACIO DE SABANETA
11366	FARMACIA NACIONAL S A	11366	PRINCIPAL	DUARTE	SAN FRANCISCO DE MACORIS
11680	LUIS A HERNANDEZ SRL	11680	PRINCIPAL	SAN PEDRO DE MACORIS	SAN PEDRO DE MACORIS
11697	FARMACIA SAN JOSE MERCEDES ANTONIA PEREZ C POR A	11697	PRINCIPAL	LA VEGA	CONSTANZA
11776	FARMACIA FANA, S.A.	11776	PRINCIPAL	SAN JUAN DE LA MAGUANA	LAS MATAS DE FARFAN
12862	FARMACIA LA HUMANITARIA PASCUAL GUZMAN S A	12862	PRINCIPAL	SANTIAGO DE LOS CABALLEROS	SANTIAGO DE LOS CABALLEROS
13653	FARMACIA LA LINEA S A	13653	PRINCIPAL	VALVERDE	ESPERANZA
2474	FARMACIA LA LINEA , AMINA	13653	SUCURSAL	VALVERDE	AMINA(DM)
13798	FARMACIA HERMANOS RAMIREZ GARCIA SRL	13798	PRINCIPAL	SAN PEDRO DE MACORIS	SAN PEDRO DE MACORIS
13799	FARMACIA CANDILEJAS EIRL	13799	PRINCIPAL	SANCHEZ RAMIREZ	VILLA LA MATA
13803	LIDIA ELIZANDRA PEÑA SOSA (FARMACIA ELYFIOR)	13803	PRINCIPAL	VALVERDE	MAO
13929	RAMONA BARTOLA AGRAMONTE PEGUERO (FARMACIA SAHIRA)	13929	PRINCIPAL	MONSEÑOR NOUEL	BONAO
13947	FARMACIA DE LA LUZ SRL	13947	PRINCIPAL	MONSEÑOR NOUEL	BONAO
13949	FARMACIA SAN LUIS SRL	13949	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO ESTE
13951	FARMACIA EDEN II SRL	13951	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO ESTE
13980	FARMACIA JACQUELINE BONAO S R L	13980	PRINCIPAL	MONSEÑOR NOUEL	BONAO
14028	FARMACIA FELLITA SRL	14028	PRINCIPAL	SANTO DOMINGO	SANTO DOMINGO OESTE
14087	FARMACIA BOCA CHICA I SRL	14087	PRINCIPAL	SANTO DOMINGO	BOCA CHICA
14088	FARMACIA DARIELA CRISTINA SRL	14088	PRINCIPAL	AZUA	AZUA DE COMPOSTELA
14131	SUPER FARMACIA TRINIDAD SRL	14131	PRINCIPAL	DUARTE	SAN FRANCISCO DE MACORIS
14133	FARMACIA LIBERTAD MENA SRL	14133	PRINCIPAL	DUARTE	SAN FRANCISCO DE MACORIS
14150	SUPER FARMACIA FANNY SRL	14150	PRINCIPAL	MARIA TRINIDAD SANCHEZ	NAGUA
14166	FARMATRIX SAS	14166	PRINCIPAL	DUARTE	SAN FRANCISCO DE MACORIS
219	METRO JPD	14166	SUCURSAL	DISTRITO NACIONAL	DISTRITO NACIONAL
220	URB. PIÑA	14166	SUCURSAL	DUARTE	SAN FRANCISCO DE MACORIS
479	FARMATRIX,SA,-GUIZA	14166	SUCURSAL	DUARTE	SAN FRANCISCO DE MACORIS
715	FARMATRIX,SAS-EL BRISAL	14166	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
716	FARMATRIX-,SAS-SAN ISIDRO	14166	SUCURSAL	SANTO DOMINGO	SANTO DOMINGO ESTE
